Item,Value,Tag1,Tag2,Tag3,Tag4,Tag5,
사과,1,AvatarExp,SkillBook,None,None,None,
일몰 열매,1,AvatarExp,SkillBook,None,None,None,
버섯,1,AvatarExp,SkillBook,None,None,None,
달콤달콤꽃,1,AvatarExp,SkillBook,None,None,None,
당근,1,AvatarExp,SkillBook,None,None,None,
흰 무,1,AvatarExp,SkillBook,None,None,None,
금어초,1,AvatarExp,SkillBook,None,None,None,
민트,1,AvatarExp,SkillBook,None,None,None,
밀,1,AvatarExp,SkillBook,None,None,None,
양배추,1,AvatarExp,SkillBook,None,None,None,
천원 은련,1,AvatarExp,SkillBook,None,None,None,
솔방울,1,AvatarExp,SkillBook,None,None,None,
연꽃받침,1,AvatarExp,SkillBook,None,None,None,
말총,1,AvatarExp,SkillBook,None,None,None,
라즈베리,1,AvatarExp,SkillBook,None,None,None,
서리꽃 꽃술,1,AvatarExp,SkillBook,None,None,None,
화염꽃 꽃술,1,AvatarExp,SkillBook,None,None,None,
전기 수정,1,WeaponExp,AvatarPromote,None,None,None,
짐승고기,1,Scoin,WeaponPromote,None,None,None,
새알,1,Scoin,WeaponPromote,None,None,None,
송이버섯,1,AvatarExp,SkillBook,None,None,None,
새고기,1,Scoin,WeaponPromote,None,None,None,
나비 날개,1,Scoin,WeaponPromote,None,None,None,
꽃게,1,Scoin,WeaponPromote,None,None,None,
토마토,1,AvatarExp,SkillBook,None,None,None,
감자,1,AvatarExp,SkillBook,None,None,None,
청개구리,1,Scoin,WeaponPromote,None,None,None,
반딧불 정수,1,Scoin,WeaponPromote,None,None,None,
도마뱀 꼬리,1,Scoin,WeaponPromote,None,None,None,
생선 살코기,1,Scoin,WeaponPromote,None,None,None,
수정 코어,1,WeaponExp,AvatarPromote,None,None,None,
추추 보옥,1,WeaponExp,AvatarPromote,None,None,None,
죽순,1,AvatarExp,SkillBook,None,None,None,
「냉동 생고기」,1,Scoin,WeaponPromote,None,None,None,
고리고리 열매,1,AvatarExp,SkillBook,None,None,None,
낙락베리,1,AvatarExp,SkillBook,None,None,None,
세실리아꽃,1,AvatarExp,SkillBook,None,None,None,
풍차 국화,1,AvatarExp,SkillBook,None,None,None,
바람버섯,1,AvatarExp,SkillBook,None,None,None,
등불꽃,1,AvatarExp,SkillBook,None,None,None,
통통 연꽃,1,AvatarExp,SkillBook,None,None,None,
민들레 씨앗,1,AvatarExp,SkillBook,None,None,None,
절운고추,1,AvatarExp,SkillBook,None,None,None,
야박석,1,WeaponExp,AvatarPromote,None,None,None,
예상꽃,1,AvatarExp,SkillBook,None,None,None,
유리백합,1,AvatarExp,SkillBook,None,None,None,
청심,1,AvatarExp,SkillBook,None,None,None,
별소라,1,Scoin,WeaponPromote,None,None,None,
유리주머니,1,AvatarExp,SkillBook,None,None,None,
콜 라피스,1,WeaponExp,AvatarPromote,None,None,None,
철광,1,WeaponExp,AvatarPromote,None,None,None,
백철,1,WeaponExp,AvatarPromote,None,None,None,
수정덩이,1,WeaponExp,AvatarPromote,None,None,None,
마법 수정석 조각,1,WeaponExp,AvatarPromote,None,None,None,
성은 광석,1,WeaponExp,AvatarPromote,None,None,None,
자수정 덩이,1,WeaponExp,AvatarPromote,None,None,None,
귀신풍뎅이,1,Scoin,WeaponPromote,None,None,None,
벚꽃 수구,1,AvatarExp,SkillBook,None,None,None,
수정 골수,1,WeaponExp,AvatarPromote,None,None,None,
혈곡,1,AvatarExp,SkillBook,None,None,None,
울림풀,1,AvatarExp,SkillBook,None,None,None,
바다 불로초,1,AvatarExp,SkillBook,None,None,None,
산호 진주,1,WeaponExp,AvatarPromote,None,None,None,
아마쿠모초 열매,1,AvatarExp,SkillBook,None,None,None,
형광 버섯,1,AvatarExp,SkillBook,None,None,None,
해초,1,AvatarExp,SkillBook,None,None,None,
제비꽃 열매,1,AvatarExp,SkillBook,None,None,None,
별 버섯,1,AvatarExp,SkillBook,None,None,None,
룩카데바타 성체 버섯,1,AvatarExp,SkillBook,None,None,None,
파디사라,1,AvatarExp,SkillBook,None,None,None,
달 연꽃,1,AvatarExp,SkillBook,None,None,None,
향신과,1,AvatarExp,SkillBook,None,None,None,
겁의 연꽃,1,AvatarExp,SkillBook,None,None,None,
뚠뚠 복숭아,1,AvatarExp,SkillBook,None,None,None,
수메르 장미,1,AvatarExp,SkillBook,None,None,None,
적념과,1,AvatarExp,SkillBook,None,None,None,
대추야자,1,AvatarExp,SkillBook,None,None,None,
황금 스카라브,1,Scoin,WeaponPromote,None,None,None,
활력 넘치는 별 버섯,1,AvatarExp,SkillBook,None,None,None,
건조된 별 버섯,1,AvatarExp,SkillBook,None,None,None,
비파랴스,1,AvatarExp,SkillBook,None,None,None,
슬라임 응축액,1,Scoin,WeaponPromote,None,None,None,
슬라임청,2,Scoin,WeaponPromote,None,None,None,
슬라임 원액,4,Scoin,WeaponPromote,None,None,None,
부서진 가면,1,Scoin,WeaponPromote,None,None,None,
오염된 가면,2,Scoin,WeaponPromote,None,None,None,
불길한 가면,4,Scoin,WeaponPromote,None,None,None,
이능 두루마리,1,AvatarExp,SkillBook,None,None,None,
봉마의 두루마리,2,AvatarExp,SkillBook,None,None,None,
금주의 두루마리,4,AvatarExp,SkillBook,None,None,None,
견고한 화살촉,1,WeaponExp,AvatarPromote,None,None,None,
날카로운 화살촉,2,WeaponExp,AvatarPromote,None,None,None,
역전의 화살촉,4,WeaponExp,AvatarPromote,None,None,None,
무거운 나팔,1,Scoin,WeaponPromote,None,None,None,
흑동 나팔,2,Scoin,WeaponPromote,None,None,None,
흑수정 나팔,4,Scoin,WeaponPromote,None,None,None,
지맥의 낡은 가지,1,AvatarExp,SkillBook,None,None,None,
지맥의 마른 잎,2,AvatarExp,SkillBook,None,None,None,
지맥의 새싹,4,AvatarExp,SkillBook,None,None,None,
혼돈의 장치,1,Scoin,WeaponPromote,None,None,None,
혼돈의 회로,2,Scoin,WeaponPromote,None,None,None,
혼돈의 노심,4,Scoin,WeaponPromote,None,None,None,
안개꽃 가루,1,AvatarExp,SkillBook,None,None,None,
안개풀 주머니,2,AvatarExp,SkillBook,None,None,None,
안개 등심,4,AvatarExp,SkillBook,None,None,None,
사냥꾼의 제도,1,WeaponExp,AvatarPromote,None,None,None,
특수 요원의 제도,2,WeaponExp,AvatarPromote,None,None,None,
검사관의 제도,4,WeaponExp,AvatarPromote,None,None,None,
신병의 휘장,1,Scoin,WeaponPromote,None,None,None,
사관의 휘장,2,Scoin,WeaponPromote,None,None,None,
위관의 휘장,4,Scoin,WeaponPromote,None,None,None,
보물찾기 까마귀 휘장,1,Scoin,WeaponPromote,None,None,None,
실버 까마귀 휘장,2,Scoin,WeaponPromote,None,None,None,
골드 까마귀 휘장,4,Scoin,WeaponPromote,None,None,None,
구라구라 꽃꿀,1,AvatarExp,SkillBook,None,None,None,
반짝반짝 꽃꿀,2,AvatarExp,SkillBook,None,None,None,
원소 꽃꿀,4,AvatarExp,SkillBook,None,None,None,
약한 뼛조각,1,Scoin,WeaponPromote,None,None,None,
단단한 뼛조각,2,Scoin,WeaponPromote,None,None,None,
석화한 뼛조각,4,Scoin,WeaponPromote,None,None,None,
오래된 코등이,1,Scoin,WeaponPromote,None,None,None,
카게우치 코등이,2,Scoin,WeaponPromote,None,None,None,
명검 코등이,4,Scoin,WeaponPromote,None,None,None,
혼돈의 기관,1,Scoin,WeaponPromote,None,None,None,
혼돈의 중추,2,Scoin,WeaponPromote,None,None,None,
혼돈의 눈동자,4,Scoin,WeaponPromote,None,None,None,
어두운 프리즘,1,Scoin,WeaponPromote,None,None,None,
수정 프리즘,2,Scoin,WeaponPromote,None,None,None,
편광 프리즘,4,Scoin,WeaponPromote,None,None,None,
떠도는 정령 코어 껍데기,1,Scoin,WeaponPromote,None,None,None,
떠도는 정령 코어,2,Scoin,WeaponPromote,None,None,None,
떠도는 정령 결정화 코어,4,Scoin,WeaponPromote,None,None,None,
맹수 발톱,1,Scoin,WeaponPromote,None,None,None,
맹수의 날카로운 발톱,2,Scoin,WeaponPromote,None,None,None,
맹수의 귀신 발톱,4,Scoin,WeaponPromote,None,None,None,
버섯몬 포자,1,AvatarExp,SkillBook,None,None,None,
형광 포자 분말,2,AvatarExp,SkillBook,None,None,None,
포낭 결정 가루,4,AvatarExp,SkillBook,None,None,None,
활기를 잃은 버섯핵,1,AvatarExp,SkillBook,None,None,None,
잠든 버섯핵,2,AvatarExp,SkillBook,None,None,None,
튼튼한 버섯핵,4,AvatarExp,SkillBook,None,None,None,
빛바랜 붉은 비단,1,Scoin,WeaponPromote,None,None,None,
장식된 붉은 비단,2,Scoin,WeaponPromote,None,None,None,
금자수 붉은 비단,4,Scoin,WeaponPromote,None,None,None,
